"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 1 3 34 "GO:0008022" "protein C-terminus binding" 1
0 1 2 87 "GO:0008028" "monocarboxylic acid transmembrane transporter activity" 1
0 1 2 16 "GO:0008035" "high-density lipoprotein particle binding" 1
0 1 3 14 "GO:0008046" "axon guidance receptor activity" 1
0 1 3 195 "GO:0008047" "enzyme activator activity" 1
0 1 4 11 "GO:0008066" "glutamate receptor activity" 1
0 1 3 31 "GO:0008080" "N-acetyltransferase activity" 1
0 1 2 51 "GO:0008081" "phosphoric diester hydrolase activity" 1
0 1 2 20 "GO:0008083" "growth factor activity" 1
0 0.81240708625799 2 423 "GO:0008092" "cytoskeletal protein binding" 1
0 1 2 5 "GO:0008093" "cytoskeletal adaptor activity" 1
0 0.0860438817570974 3 69 "GO:0008094" "DNA-dependent ATPase activity" 1
0 1 2 5 "GO:0008121;GO:0016681" "ubiquinol-cytochrome-c reductase activity" 1
0 0.837517422125789 3 250 "GO:0008134" "transcription factor binding" 1
0 0.349502460421309 2 60 "GO:0008135" "translation factor activity, RNA binding" 1
0 1 2 19 "GO:0008138" "protein tyrosine/serine/threonine phosphatase activity" 1
0 1 3 5 "GO:0008139" "nuclear localization sequence binding" 1
0 1 4 17 "GO:0008143;GO:0070717" "poly-purine tract binding" 1
0 0.949138451998081 2 405 "GO:0008144" "drug binding" 1
0 1 2 35 "GO:0008146" "sulfotransferase activity" 1
0 1 6 15 "GO:0008157" "protein phosphatase 1 binding" 1
0 1 4 11 "GO:0008158;GO:0097108" "hedgehog receptor activity" 1
0 1 5 47 "GO:0008170" "N-methyltransferase activity" 1
0 1 5 9 "GO:0008171" "O-methyltransferase activity" 1
0 1 5 12 "GO:0008172" "S-methyltransferase activity" 1
0 1 3 22 "GO:0008173" "RNA methyltransferase activity" 1
0 1 2 5 "GO:0008174" "mRNA methyltransferase activity" 1
0 1 2 7 "GO:0008175" "tRNA methyltransferase activity" 1
0 1 2 9 "GO:0008179" "adenylate cyclase binding" 1
0 1 2 23 "GO:0008187" "poly-pyrimidine tract binding" 1
0 1 2 9 "GO:0008191" "metalloendopeptidase inhibitor activity" 1
0 1 2 114 "GO:0008194" "UDP-glycosyltransferase activity" 1
0 1 2 5 "GO:0008195" "phosphatidate phosphatase activity" 1
0 1 3 8 "GO:0008198" "ferrous iron binding" 1
0 1 7 9 "GO:0008199;GO:0015091;GO:0072510" "ferric iron binding" 1
0 1 3 14 "GO:0008200;GO:0016248" "channel inhibitor activity" 1
0 1 2 61 "GO:0008201" "heparin binding" 1
0 1 2 15 "GO:0008227" "G protein-coupled amine receptor activity" 1
0 0.15354911367146 2 98 "GO:0008234" "cysteine-type peptidase activity" 1
0 1 3 49 "GO:0008235" "metalloexopeptidase activity" 1
0 1 2 102 "GO:0008236;GO:0017171" "serine hydrolase activity" 1
0 1 2 182 "GO:0008237" "metallopeptidase activity" 1
0 1 2 94 "GO:0008238" "exopeptidase activity" 1
0 1 4 15 "GO:0008239" "dipeptidyl-peptidase activity" 1
0 1 6 7 "GO:0008242" "omega peptidase activity" 1
0 1 3 5 "GO:0008252" "nucleotidase activity" 1
0 1 3 14 "GO:0008266" "poly(U) RNA binding" 1
0 1 2 185 "GO:0008270" "zinc ion binding" 1
0 1 2 15 "GO:0008271;GO:0015116" "sulfate transmembrane transporter activity" 1
0 1 2 37 "GO:0008276" "protein methyltransferase activity" 1
0 0.884561038086995 2 296 "GO:0008289" "lipid binding" 1
0 1 3 5 "GO:0008294" "calcium- and calmodulin-responsive adenylate cyclase activity" 1
0 1 4 29 "GO:0008301" "DNA binding, bending" 1
0 0.193085172606776 2 30 "GO:0008307" "structural constituent of muscle" 1
0 1 2 9 "GO:0008308" "voltage-gated anion channel activity" 1
0 1 2 5 "GO:0008312" "7S RNA binding" 1
0 1 2 21 "GO:0008320;GO:0022884" "macromolecule transmembrane transporter activity" 1
0 1 3 9 "GO:0008329;GO:0038187;GO:0070053;GO:0070538;GO:0070892" "pattern recognition receptor activity" 1
0 0.120682767329457 3 18 "GO:0008331" "high voltage-gated calcium channel activity" 1
0 1 3 6 "GO:0008353" "RNA polymerase II CTD heptapeptide repeat kinase activity" 1
0 1 2 29 "GO:0008374" "O-acyltransferase activity" 1
0 1 2 45 "GO:0008375" "acetylglucosaminyltransferase activity" 1
0 1 5 16 "GO:0008376" "acetylgalactosaminyltransferase activity" 1
0 1 5 32 "GO:0008378;GO:0035250" "UDP-galactosyltransferase activity" 1
0 0.344803303788646 4 59 "GO:0008381" "mechanosensitive ion channel activity" 1
0 1 2 20 "GO:0008395" "steroid hydroxylase activity" 1
0 0.248931778258042 4 40 "GO:0008408;GO:0016796" "3'-5' exonuclease activity" 1
0 1 6 11 "GO:0008409" "5'-3' exonuclease activity" 1
0 1 5 7 "GO:0008417" "fucosyltransferase activity" 1
0 1 2 9 "GO:0008430" "selenium binding" 1
0 1 2 7 "GO:0008432" "JUN kinase binding" 1
0 1 3 6 "GO:0008457;GO:0008917" "beta-galactosyl-N-acetylglucosaminylgalactosylglucosyl-ceramide beta-1,3-acetylglucosaminyltransferase activity" 1
0 1 2 6 "GO:0008467" "[heparan sulfate]-glucosamine 3-sulfotransferase 1 activity" 1
0 1 4 23 "GO:0008483;GO:0016769" "transferase activity, transferring nitrogenous groups" 1
0 1 4 33 "GO:0008484" "sulfuric ester hydrolase activity" 1
0 1 4 7 "GO:0008494" "translation activator activity" 1
0 1 6 8 "GO:0008499;GO:0048531" "beta-1,3-galactosyltransferase activity" 1
0 1 2 8 "GO:0008502" "melatonin receptor activity" 1
0 1 2 8 "GO:0008504" "monoamine transmembrane transporter activity" 1
0 1 2 8 "GO:0008507" "sodium:iodide symporter activity" 1
0 1 2 287 "GO:0008509" "anion transmembrane transporter activity" 1
0 1 5 6 "GO:0008510;GO:0015499;GO:0019531" "formate transmembrane transporter activity" 1
0 1 4 36 "GO:0008513;GO:0015199;GO:0015651;GO:0015226" "secondary active organic cation transmembrane transporter activity" 1
0 1 5 11 "GO:0008520;GO:0015229;GO:0051185" "coenzyme transmembrane transporter activity" 1
0 1 2 12 "GO:0008523" "sodium-dependent multivitamin transmembrane transporter activity" 1
0 1 2 6 "GO:0008526" "phosphatidylinositol transporter activity" 1
0 1 3 20 "GO:0008536" "Ran GTPase binding" 1
0 1 2 35 "GO:0008559;GO:0042910" "xenobiotic transmembrane transporter activity" 1
0 1 2 62 "GO:0008565" "protein transporter activity" 1
0 1 3 21 "GO:0008574;GO:1990939" "ATP-dependent microtubule motor activity" 1
0 0.0555175065633292 2 8 "GO:0008607" "phosphorylase kinase regulator activity" 1
0 1 2 12 "GO:0008641" "ubiquitin-like modifier activating enzyme activity" 1
0 1 3 8 "GO:0008649;GO:0140102" "catalytic activity, acting on a rRNA" 1
0 1 2 7 "GO:0008656;GO:0016505" "peptidase activator activity involved in apoptotic process" 1
0 1 5 82 "GO:0008757" "S-adenosylmethionine-dependent methyltransferase activity" 1
0 1 6 5 "GO:0008821;GO:0016889;GO:0016894" "crossover junction endodeoxyribonuclease activity" 1
0 1 6 6 "GO:0008898" "S-adenosylmethionine-homocysteine S-methyltransferase activity" 1
0 1 3 83 "GO:0009055" "electron transfer activity" 1
0 1 3 8 "GO:0009881" "photoreceptor activity" 1
0 1 2 6 "GO:0009931;GO:0010857" "calcium-dependent protein kinase activity" 1
0 1 2 33 "GO:0009975;GO:0016849" "cyclase activity" 1
0 1 2 14 "GO:0010181" "FMN binding" 1
0 1 7 5 "GO:0010484" "H3 histone acetyltransferase activity" 1
0 1 7 8 "GO:0010485" "H4 histone acetyltransferase activity" 1
0 1 2 6 "GO:0010521" "telomerase inhibitor activity" 1
0 1 2 7 "GO:0015018" "galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase activity" 1
0 1 2 36 "GO:0015020" "glucuronosyltransferase activity" 1
0 1 2 6 "GO:0015026;GO:0071936" "coreceptor activity" 1
0 1 2 11 "GO:0015035" "protein disulfide oxidoreductase activity" 1
0 1 2 23 "GO:0015036" "disulfide oxidoreductase activity" 1
0 0.508912683348732 2 238 "GO:0015077" "monovalent inorganic cation transmembrane transporter activity" 1
0 1 4 60 "GO:0015078" "proton transmembrane transporter activity" 1
0 0.056088856341085 2 54 "GO:0015079" "potassium ion transmembrane transporter activity" 1
0 1 2 158 "GO:0015081" "sodium ion transmembrane transporter activity" 1
0 1 3 89 "GO:0015101;GO:0008519" "organic cation transmembrane transporter activity" 1
0 1 4 76 "GO:0015103" "inorganic anion transmembrane transporter activity" 1
0 1 3 7 "GO:0015106" "bicarbonate transmembrane transporter activity" 1
0 1 2 31 "GO:0015108" "chloride transmembrane transporter activity" 1
0 1 2 12 "GO:0015111" "iodide transmembrane transporter activity" 1
0 1 3 5 "GO:0015136;GO:0015143;GO:1901702" "urate transmembrane transporter activity" 1
0 1 2 7 "GO:0015141" "succinate transmembrane transporter activity" 1
0 1 2 7 "GO:0015142;GO:0015137" "tricarboxylic acid transmembrane transporter activity" 1
0 1 2 30 "GO:0015144;GO:0051119" "carbohydrate transmembrane transporter activity" 1
0 1 4 19 "GO:0015145" "monosaccharide transmembrane transporter activity" 1
0 1 2 6 "GO:0015166;GO:0015168" "polyol transmembrane transporter activity" 1
0 1 2 137 "GO:0015171" "amino acid transmembrane transporter activity" 1
0 1 2 6 "GO:0015173" "aromatic amino acid transmembrane transporter activity" 1
0 1 2 5 "GO:0015174" "basic amino acid transmembrane transporter activity" 1
0 1 6 45 "GO:0015175" "neutral amino acid transmembrane transporter activity" 1
0 1 3 5 "GO:0015194;GO:0022889" "L-serine transmembrane transporter activity" 1
0 1 2 15 "GO:0015205" "nucleobase transmembrane transporter activity" 1
0 1 4 17 "GO:0015215;GO:0015605" "organophosphate ester transmembrane transporter activity" 1
0 1 2 5 "GO:0015220" "choline transmembrane transporter activity" 1
0 1 2 140 "GO:0015238" "drug transmembrane transporter activity" 1
0 1 3 9 "GO:0015248" "sterol transporter activity" 1
0 1 5 5 "GO:0015252" "proton channel activity" 1
0 0.0419280049085585 3 6 "GO:0015269" "calcium-activated potassium channel activity" 1
0 1 2 6 "GO:0015271" "outward rectifier potassium channel activity" 1
0 0.225509197253053 4 126 "GO:0015276;GO:0022834" "ligand-gated ion channel activity" 1
0 1 4 15 "GO:0015278;GO:0099604" "ligand-gated calcium channel activity" 1
0 1 2 7 "GO:0015279" "store-operated calcium channel activity" 1
0 1 2 27 "GO:0015280" "ligand-gated sodium channel activity" 1
0 1 3 6 "GO:0015288;GO:0022829" "porin activity" 1
0 1 2 191 "GO:0015291" "secondary active transmembrane transporter activity" 1
0 1 3 104 "GO:0015294;GO:0015293;GO:0015370" "symporter activity" 1
0 1 4 10 "GO:0015295" "solute:proton symporter activity" 1
0 1 4 38 "GO:0015296" "anion:cation symporter activity" 1
0 1 5 32 "GO:0015297;GO:0099516" "antiporter activity" 1
0 1 3 12 "GO:0015301" "anion:anion antiporter activity" 1
0 1 3 11 "GO:0015321" "sodium-dependent phosphate transmembrane transporter activity" 1
0 1 4 9 "GO:0015349" "thyroid hormone transmembrane transporter activity" 1
0 1 5 11 "GO:0015355" "secondary active monocarboxylate transmembrane transporter activity" 1
0 1 3 6 "GO:0015368" "calcium:cation antiporter activity" 1
0 1 2 17 "GO:0015373" "anion:sodium symporter activity" 1
0 1 2 7 "GO:0015377;GO:0015379;GO:0008511;GO:0009674;GO:0015378" "cation:chloride symporter activity" 1
0 1 2 9 "GO:0015381" "high-affinity sulfate transmembrane transporter activity" 1
0 1 2 8 "GO:0015385;GO:0022821" "potassium ion antiporter activity" 1
0 1 5 121 "GO:0015399;GO:0015405;GO:0042626;GO:0043492" "P-P-bond-hydrolysis-driven transmembrane transporter activity" 1
0 1 3 10 "GO:0015450" "P-P-bond-hydrolysis-driven protein transmembrane transporter activity" 1
0 1 2 24 "GO:0015459" "potassium channel regulator activity" 1
0 1 5 5 "GO:0015464;GO:0022848;GO:1904315;GO:0099529;GO:0098960" "transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential" 1
0 1 2 17 "GO:0015491;GO:0015298" "cation:cation antiporter activity" 1
0 1 2 29 "GO:0015556" "C4-dicarboxylate transmembrane transporter activity" 1
0 1 2 21 "GO:0015562" "efflux transmembrane transporter activity" 1
0 1 2 5 "GO:0015643" "toxic substance binding" 1
0 0.126951724757198 2 19 "GO:0015645;GO:0004467" "fatty acid ligase activity" 1
0 1 5 12 "GO:0015665" "alcohol transmembrane transporter activity" 1
0 1 2 5 "GO:0015924" "mannosyl-oligosaccharide mannosidase activity" 1
0 1 5 8 "GO:0015925" "galactosidase activity" 1
0 1 2 12 "GO:0015929" "hexosaminidase activity" 1
0 1 3 35 "GO:0015932" "nucleobase-containing compound transmembrane transporter activity" 1
0 1 4 8 "GO:0016004;GO:0060229" "lipase activator activity" 1
0 1 4 16 "GO:0016015" "morphogen activity" 1
0 1 2 9 "GO:0016174;GO:0050664" "oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor" 1
0 1 6 10 "GO:0016208" "AMP binding" 1
0 0.248931778258042 1 40 "GO:0016209" "antioxidant activity" 1
0 1 3 18 "GO:0016229;GO:0033764" "steroid dehydrogenase activity" 1
0 1 2 5 "GO:0016262" "protein N-acetylglucosaminyltransferase activity" 1
0 1 4 6 "GO:0016274;GO:0016273" "protein-arginine N-methyltransferase activity" 1
0 1 3 20 "GO:0016278;GO:0016279;GO:0018024" "protein-lysine N-methyltransferase activity" 1
0 1 2 14 "GO:0016289" "CoA hydrolase activity" 1
0 1 4 11 "GO:0016290;GO:0047617" "acyl-CoA hydrolase activity" 1
0 1 5 12 "GO:0016303;GO:0035004" "phosphatidylinositol 3-kinase activity" 1
0 1 2 18 "GO:0016307;GO:0016308" "phosphatidylinositol phosphate kinase activity" 1
0 1 5 16 "GO:0016404" "15-hydroxyprostaglandin dehydrogenase (NAD+) activity" 1
0 1 3 6 "GO:0016406" "carnitine O-acyltransferase activity" 1
0 1 2 48 "GO:0016407" "acetyltransferase activity" 1
0 1 2 18 "GO:0016408" "C-acyltransferase activity" 1
0 1 2 17 "GO:0016409" "palmitoyltransferase activity" 1
0 1 2 42 "GO:0016410" "N-acyltransferase activity" 1
0 1 3 11 "GO:0016411" "acylglycerol O-acyltransferase activity" 1
0 1 2 6 "GO:0016413" "O-acetyltransferase activity" 1
0 1 2 12 "GO:0016417" "S-acyltransferase activity" 1
0 1 4 8 "GO:0016421;GO:0016885" "ligase activity, forming carbon-carbon bonds" 1
0 0.841629834923802 3 634 "GO:0016462;GO:0016818;GO:0016817;GO:0017111" "hydrolase activity, acting on acid anhydrides" 1
0 0.564530218444609 2 555 "GO:0016491" "oxidoreductase activity" 1
0 1 3 9 "GO:0016500" "protein-hormone receptor activity" 1
0 1 2 17 "GO:0016504" "peptidase activator activity" 1
0 1 3 8 "GO:0016524" "latrotoxin receptor activity" 1
0 1 2 5 "GO:0016530" "metallochaperone activity" 1
0 1 2 20 "GO:0016538" "cyclin-dependent protein serine/threonine kinase regulator activity" 1
0 1 4 8 "GO:0016594" "glycine binding" 1
0 1 6 18 "GO:0016595" "glutamate binding" 1
0 1 2 83 "GO:0016597" "amino acid binding" 1
0 1 4 5 "GO:0016615" "malate dehydrogenase activity" 1
0 1 2 132 "GO:0016616;GO:0016614" "oxidoreductase activity, acting on CH-OH group of donors" 1
0 0.0295942431554811 4 38 "GO:0016620;GO:0016903" "oxidoreductase activity, acting on the aldehyde or oxo group of donors" 1
0 1 2 6 "GO:0016623" "oxidoreductase activity, acting on the aldehyde or oxo group of donors, oxygen as acceptor" 1
0 1 3 8 "GO:0016624" "oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor" 1
0 1 3 38 "GO:0016627" "oxidoreductase activity, acting on the CH-CH group of donors" 1
0 1 2 17 "GO:0016628" "oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor" 1
0 1 2 7 "GO:0016634" "oxidoreductase activity, acting on the CH-CH group of donors, oxygen as acceptor" 1
0 1 4 20 "GO:0016641;GO:0016638" "oxidoreductase activity, acting on the CH-NH2 group of donors" 1
0 1 3 18 "GO:0016645" "oxidoreductase activity, acting on the CH-NH group of donors" 1
0 1 4 10 "GO:0016646" "oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor" 1
0 1 2 68 "GO:0016651" "oxidoreductase activity, acting on NAD(P)H" 1
0 1 4 32 "GO:0016655" "oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor" 1
0 1 2 36 "GO:0016667" "oxidoreductase activity, acting on a sulfur group of donors" 1
0 1 4 7 "GO:0016668" "oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor" 1
0 1 4 5 "GO:0016670" "oxidoreductase activity, acting on a sulfur group of donors, oxygen as acceptor" 1
0 1 4 7 "GO:0016671" "oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor" 1
0 0.0821324489863934 2 12 "GO:0016679" "oxidoreductase activity, acting on diphenols and related substances as donors" 1
0 0.0350616120813712 5 5 "GO:0016682;GO:0052716" "hydroquinone:oxygen oxidoreductase activity" 1
0 1 2 16 "GO:0016701;GO:0016702" "oxidoreductase activity, acting on single donors with incorporation of molecular oxygen" 1
0 1 2 101 "GO:0016705" "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen" 1
0 1 2 39 "GO:0016706" "2-oxoglutarate-dependent dioxygenase activity" 1
0 1 2 22 "GO:0016709" "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen" 1
0 1 4 7 "GO:0016713" "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced iron-sulfur protein as one donor, and incorporation of one atom of oxygen" 1
0 1 3 17 "GO:0016725" "oxidoreductase activity, acting on CH or CH2 groups" 1
0 1 2 111 "GO:0016741;GO:0008168" "transferase activity, transferring one-carbon groups" 1
0 1 2 6 "GO:0016742" "hydroxymethyl-, formyl- and related transferase activity" 1
0 1 4 5 "GO:0016743" "carboxyl- or carbamoyltransferase activity" 1
0 0.622015398727504 4 135 "GO:0016747;GO:0016746" "transferase activity, transferring acyl groups" 1
0 1 3 15 "GO:0016755" "transferase activity, transferring amino-acyl groups" 1
0 1 4 5 "GO:0016756" "glutathione gamma-glutamylcysteinyltransferase activity" 1
0 1 2 177 "GO:0016758;GO:0016757" "transferase activity, transferring glycosyl groups" 1
0 1 4 28 "GO:0016763" "transferase activity, transferring pentosyl groups" 1
0 1 3 38 "GO:0016765" "transferase activity, transferring alkyl or aryl (other than methyl) groups" 1
0 0.753772340540048 3 543 "GO:0016772" "transferase activity, transferring phosphorus-containing groups" 1
0 1 2 5 "GO:0016774" "phosphotransferase activity, carboxyl group as acceptor" 1
0 1 2 18 "GO:0016776" "phosphotransferase activity, phosphate group as acceptor" 1
0 1 2 5 "GO:0016778" "diphosphotransferase activity" 1
0 0.501966976555287 4 97 "GO:0016779" "nucleotidyltransferase activity" 1
0 1 2 14 "GO:0016780" "phosphotransferase activity, for other substituted phosphate groups" 1
0 0.285753021739647 3 47 "GO:0016782" "transferase activity, transferring sulfur-containing groups" 1
0 0.0755484188298035 2 11 "GO:0016783" "sulfurtransferase activity" 1
0 0.974022441918469 3 493 "GO:0016788" "hydrolase activity, acting on ester bonds" 1
0 1 4 62 "GO:0016790" "thiolester hydrolase activity" 1
0 1 2 219 "GO:0016791;GO:0042578" "phosphoric ester hydrolase activity" 1
0 1 2 18 "GO:0016799" "hydrolase activity, hydrolyzing N-glycosyl compounds" 1
0 1 2 16 "GO:0016803;GO:0016801" "hydrolase activity, acting on ether bonds" 1
0 1 3 10 "GO:0016805" "dipeptidase activity" 1
0 0.126785268672835 3 87 "GO:0016810" "hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds" 1
0 0.305993551201824 4 51 "GO:0016811" "hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides" 1
0 1 4 7 "GO:0016812" "hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides" 1
0 1 4 22 "GO:0016814;GO:0019239" "hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines" 1
0 0.0419280049085585 4 6 "GO:0016822;GO:0016823" "hydrolase activity, acting on acid carbon-carbon bonds, in ketonic substances" 1
0 0.270478859844394 2 143 "GO:0016829" "lyase activity" 1
0 0.232587855381062 3 37 "GO:0016830" "carbon-carbon lyase activity" 1
0 0.120682767329457 4 18 "GO:0016831" "carboxy-lyase activity" 1
0 1 4 6 "GO:0016832" "aldehyde-lyase activity" 1
0 1 2 10 "GO:0016833" "oxo-acid-lyase activity" 1
0 1 2 58 "GO:0016835;GO:0016836" "carbon-oxygen lyase activity" 1
0 1 2 9 "GO:0016840" "carbon-nitrogen lyase activity" 1
0 1 4 5 "GO:0016841" "ammonia-lyase activity" 1
0 0.0689181308500985 3 10 "GO:0016846" "carbon-sulfur lyase activity" 1
0 1 2 102 "GO:0016853" "isomerase activity" 1
0 1 2 13 "GO:0016854;GO:0016857" "racemase and epimerase activity" 1
0 1 2 48 "GO:0016860" "intramolecular oxidoreductase activity" 1
0 1 2 9 "GO:0016861" "intramolecular oxidoreductase activity, interconverting aldoses and ketoses" 1
0 1 2 6 "GO:0016863" "intramolecular oxidoreductase activity, transposing C=C bonds" 1
0 1 2 11 "GO:0016866" "intramolecular transferase activity" 1
0 1 4 5 "GO:0016868" "intramolecular transferase activity, phosphotransferases" 1
0 0.241305459041683 2 353 "GO:0016874" "ligase activity" 1
0 0.238074169224997 3 38 "GO:0016877" "ligase activity, forming carbon-sulfur bonds" 1
0 0.169625001234403 2 26 "GO:0016878;GO:0016405" "acid-thiol ligase activity" 1
0 1 4 7 "GO:0016884" "carbon-nitrogen ligase activity, with glutamine as amido-N-donor" 1
0 1 2 11 "GO:0016886" "ligase activity, forming phosphoric ester bonds" 1
0 0.542457986929352 7 397 "GO:0016887;GO:0042623" "ATPase activity" 1
0 1 3 9 "GO:0016888;GO:0017108" "endodeoxyribonuclease activity, producing 5'-phosphomonoesters" 1
0 1 5 5 "GO:0016890" "site-specific endodeoxyribonuclease activity, specific for altered base" 1
0 1 6 25 "GO:0016893" "endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters" 1
0 1 2 5 "GO:0016899" "oxidoreductase activity, acting on the CH-OH group of donors, oxygen as acceptor" 1
0 1 4 17 "GO:0016917" "GABA receptor activity" 1
0 1 2 50 "GO:0016922;GO:0035258" "nuclear receptor binding" 1
0 1 2 8 "GO:0017017;GO:0033549" "MAP kinase phosphatase activity" 1
0 0.275417036110797 2 45 "GO:0017022" "myosin binding" 1
0 1 5 5 "GO:0017040" "N-acylsphingosine amidohydrolase activity" 1
0 1 2 12 "GO:0017046" "peptide hormone binding" 1
0 1 3 56 "GO:0017048" "Rho GTPase binding" 1
0 1 2 12 "GO:0017056" "structural constituent of nuclear pore" 1
0 1 5 16 "GO:0017069" "snRNA binding" 1
0 1 2 12 "GO:0017091" "AU-rich element binding" 1
0 1 6 5 "GO:0017095" "heparan sulfate 6-O-sulfotransferase activity" 1
0 1 4 9 "GO:0017110" "nucleoside-diphosphatase activity" 1
0 1 2 20 "GO:0017112" "Rab guanyl-nucleotide exchange factor activity" 1
0 0.0886705373712847 2 13 "GO:0017116;GO:0043142" "single-stranded DNA-dependent ATPase activity" 1
0 1 3 34 "GO:0017124" "SH3 domain binding" 1
0 1 3 12 "GO:0017134" "fibroblast growth factor binding" 1
0 1 2 7 "GO:0017136;GO:0034979" "NAD-dependent histone deacetylase activity" 1
0 1 2 49 "GO:0017137" "Rab GTPase binding" 1
0 1 2 21 "GO:0017147" "Wnt-protein binding" 1
0 1 2 10 "GO:0017151" "DEAD/H-box RNA helicase binding" 1
0 1 2 18 "GO:0017153" "sodium:dicarboxylate symporter activity" 1
0 1 2 13 "GO:0017154" "semaphorin receptor activity" 1
0 1 3 6 "GO:0017160" "Ral GTPase binding" 1
0 1 3 7 "GO:0017169" "CDP-alcohol phosphatidyltransferase activity" 1
0 1 2 47 "GO:0019003" "GDP binding" 1
0 1 3 6 "GO:0019103" "pyrimidine nucleotide binding" 1
0 1 2 13 "GO:0019104" "DNA N-glycosylase activity" 1
0 1 5 5 "GO:0019166" "trans-2-enoyl-CoA reductase (NADPH) activity" 1
0 1 5 9 "GO:0019200" "carbohydrate kinase activity" 1
0 1 2 6 "GO:0019202" "amino acid kinase activity" 1
0 1 2 24 "GO:0019205" "nucleobase-containing compound kinase activity" 1
0 1 3 43 "GO:0019208" "phosphatase regulator activity" 1
0 1 2 33 "GO:0019209;GO:0030295" "kinase activator activity" 1
0 1 2 7 "GO:0019211" "phosphatase activator activity" 1
0 1 2 11 "GO:0019212" "phosphatase inhibitor activity" 1
0 1 2 25 "GO:0019213" "deacetylase activity" 1
0 1 2 5 "GO:0019215" "intermediate filament binding" 1
0 1 2 6 "GO:0019237" "centromeric DNA binding" 1
0 1 5 5 "GO:0019238" "cyclohydrolase activity" 1
0 1 2 18 "GO:0019534" "toxin transmembrane transporter activity" 1
0 1 3 8 "GO:0019706;GO:0019707" "protein-cysteine S-palmitoyltransferase activity" 1
0 1 2 5 "GO:0019789" "SUMO transferase activity" 1
0 1 2 21 "GO:0019825" "oxygen binding" 1
0 1 3 36 "GO:0019829;GO:0042625;GO:0022853;GO:0015662" "ATPase coupled ion transmembrane transporter activity" 1
0 1 2 51 "GO:0019838" "growth factor binding" 1
0 1 3 33 "GO:0019842" "vitamin binding" 1
0 1 2 10 "GO:0019843" "rRNA binding" 1
0 1 2 5 "GO:0019870" "potassium channel inhibitor activity" 1
0 0.498349482017962 4 96 "GO:0019887;GO:0019207" "kinase regulator activity" 1
0 1 4 32 "GO:0019888" "protein phosphatase regulator activity" 1
0 1 4 17 "GO:0019894" "kinesin binding" 1
0 0.862782511826702 2 477 "GO:0019899" "enzyme binding" 1
0 0.62747882113404 2 137 "GO:0019900;GO:0019901" "kinase binding" 1
0 0.354168597068851 2 61 "GO:0019902" "phosphatase binding" 1
0 0.248931778258042 3 40 "GO:0019903" "protein phosphatase binding" 1
0 0.109921855741613 2 258 "GO:0019904" "protein domain specific binding" 1
0 0.157645654941698 4 24 "GO:0019905" "syntaxin binding" 1
0 1 3 28 "GO:0019955" "cytokine binding" 1
0 1 3 30 "GO:0019992" "diacylglycerol binding" 1
0 0.215895686719237 3 34 "GO:0020037;GO:0046906" "tetrapyrrole binding" 1
0 1 2 313 "GO:0022804" "active transmembrane transporter activity" 1
0 1 6 7 "GO:0022824;GO:0022835" "transmitter-gated channel activity" 1
0 1 2 23 "GO:0030020" "extracellular matrix structural constituent conferring tensile strength" 1
0 1 2 6 "GO:0030144" "alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase activity" 1
0 1 4 23 "GO:0030145" "manganese ion binding" 1
0 1 2 17 "GO:0030159" "receptor signaling complex scaffold activity" 1
0 1 3 73 "GO:0030165" "PDZ domain binding" 1
0 1 2 11 "GO:0030169" "low-density lipoprotein particle binding" 1
0 1 3 13 "GO:0030170;GO:0070279" "pyridoxal phosphate binding" 1
0 1 2 27 "GO:0030228" "lipoprotein particle receptor activity" 1
0 0.927550041894605 2 582 "GO:0030234;GO:0098772" "molecular function regulator" 1
0 0.131562524771419 2 89 "GO:0030246" "carbohydrate binding" 1
0 1 2 21 "GO:0030276" "clathrin binding" 1
0 1 2 14 "GO:0030291" "protein serine/threonine kinase inhibitor activity" 1
0 1 6 8 "GO:0030292" "protein tyrosine kinase inhibitor activity" 1
0 1 3 12 "GO:0030296" "protein tyrosine kinase activator activity" 1
0 1 2 24 "GO:0030331" "estrogen receptor binding" 1
0 1 3 7 "GO:0030332" "cyclin binding" 1
